name	address	deposit_time	deposit_asset0	deposit_asset1	deposit_amount0	deposit_amount1	deposit_value0	deposit_value1	deposit_value	reward_asset0	reward_asset1	reward_amount0	reward_amount1	reward_value0	reward_value1	reward_value	total_days	total_blocks	apr	type	deposit_link
swapx	0x9090bbf60a44a217ac7403f6945690f061456850	25/05/13 11:05:00	USDC.e	scBTC	14.4791	0.0000511524	14.4791	5.30128	19.7804	SWPx		0.506548		0.0673203		0.0673203	9.982	2515737	12.4400	Swap pool	https://swapx.fi/earn?search=USDC.e/scBTC
swapx	0x810687eb359c563c1af11af89c001f905a5989f0	25/05/14 12:05:00	WBTC	scBTC	0.0000840232	0.0000391159	8.70791	4.05386	12.7618	SWPx		0.0190412		0.00253057		0.00253057	8.934	2258291	0.810000	Swap pool	https://swapx.fi/earn?search=WBTC/scBTC
swapx	0x5c98734391c4b9132794b097f9162ff4fcecd598	25/05/14 12:05:00	wS	scBTC	7.86763	0.0000760136	3.89605	7.87783	11.7739	SWPx		0.324333		0.0431038		0.0431038	8.933	2257984	14.9600	Swap pool	https://swapx.fi/earn?search=wS/scBTC
Silo-LBTC · scBTC	0x0dfa6b53c05b07e29b49a878fc96153cc03c3e72	25/05/21 12:05:00	LBTC		0.000000870000		0.0947856		0.0947856	LBTC		0.0000000100000		0.00108949		0.00108949	1.931	504104	217.270	Swap pool	https://app.silo.finance/markets/sonic/lbtc-scbtc-32
MEV USDC.e	0x196F3C7443E940911EE2Bb88e019Fd71400349D9	25/04/08 04:04:00	USDC.e		17.0000		17.0000		17.0000	USDC.e	wS	-11.9993	0.000000	-11.9993	0.000000	-11.9993	45.26	10139918	-569.230	Swap pool	https://app.euler.finance/vault/0x196F3C7443E940911EE2Bb88e019Fd71400349D9?network=sonic
beefy-wbtc-usdc.e	0x920D88cA46041eFdB317c1a4150e8f0515e88D9B	25/05/13 10:05:00	cowShadowSonicWBTC-USDC		0.0000000000163204		17		17	cowShadowSonicWBTC-USDC		0.0000000000000165640		0.017		0.017	10.00	2520324	3.70000	vault	https://app.beefy.com/vault/shadow-cow-sonic-wbtc-usdc.e-vault
scBTC/LBTC Weighted Pool	0x83952912178aa33c3853ee5d942c96254b235dcc	25/05/22 04:05:00	scBTC	LBTC	0.0000724400	0.0000100000	7.92159	1.09807	9.01966	scBTC	LBTC	-0.00000356593	-0.000000490728	-0.369563	-0.0534643	-0.42	1.268	334520	-3803.71	balancer-v2-pool	https://beets.fi/pools/sonic/v2/0x83952912178aa33c3853ee5d942c96254b235dcc0002000000000000000000ab
