name	address	deposit_time	deposit_asset0	deposit_asset1	deposit_amount0	deposit_amount1	deposit_value0	deposit_value1	deposit_value	reward_asset0	reward_asset1	reward_amount0	reward_amount1	reward_value0	reward_value1	reward_value	total_days	total_blocks	apr	type	deposit_link
swapx	0x9090bbf60a44a217ac7403f6945690f061456850	25/05/13 11:05:00	USDC.e	scBTC	14.4574	0.0000513520	14.4574	5.32197	19.7794	SWPx		0.507071		0.0673898		0.0673898	9.991	2517993	12.4500	Swap pool	https://swapx.fi/earn?search=USDC.e/scBTC
swapx	0x810687eb359c563c1af11af89c001f905a5989f0	25/05/14 12:05:00	WBTC	scBTC	0.0000839850	0.0000391542	8.70396	4.05782	12.7618	SWPx		0.0190627		0.00253343		0.00253343	8.943	2260547	0.810000	Swap pool	https://swapx.fi/earn?search=WBTC/scBTC
swapx	0x5c98734391c4b9132794b097f9162ff4fcecd598	25/05/14 12:05:00	wS	scBTC	7.87393	0.0000759842	3.89917	7.87478	11.7740	SWPx		0.324612		0.0431409		0.0431409	8.941	2260240	14.9600	Swap pool	https://swapx.fi/earn?search=wS/scBTC
Silo-LBTC · scBTC	0x0dfa6b53c05b07e29b49a878fc96153cc03c3e72	25/05/21 12:05:00	LBTC		0.000000870000		0.0947856		0.0947856	LBTC		0.0000000100000		0.00108949		0.00108949	1.939	506361	216.370	Swap pool	https://app.silo.finance/markets/sonic/lbtc-scbtc-32
MEV USDC.e	0x196F3C7443E940911EE2Bb88e019Fd71400349D9	25/04/08 04:04:00	USDC.e		17.0000		17.0000		17.0000	USDC.e	wS	-11.9993	0.000000	-11.9993	0.000000	-11.9993	45.27	10142175	-569.100	Swap pool	https://app.euler.finance/vault/0x196F3C7443E940911EE2Bb88e019Fd71400349D9?network=sonic
beefy-wbtc-usdc.e	0x920D88cA46041eFdB317c1a4150e8f0515e88D9B	25/05/13 10:05:00	cowShadowSonicWBTC-USDC		0.0000000000163204		17		17	cowShadowSonicWBTC-USDC		0.0000000000000166070		0.017		0.017	10.01	2522580	3.71000	vault	https://app.beefy.com/vault/shadow-cow-sonic-wbtc-usdc.e-vault
scBTC/LBTC Weighted Pool	0x83952912178aa33c3853ee5d942c96254b235dcc	25/05/22 04:05:00	scBTC	LBTC	0.0000724400	0.0000100000	7.92159	1.09807	9.01966	scBTC	LBTC	-0.00000356593	-0.000000490728	-0.369563	-0.0534643	-0.42	1.276	336776	-3778.26	balancer-v2-pool	https://beets.fi/pools/sonic/v2/0x83952912178aa33c3853ee5d942c96254b235dcc0002000000000000000000ab
